"V1","V2"
"Ifit3","Hp"
"Ifitm3","Gbp2"
"nssr 1","mKIAA1108"
"Slc7a2","Gbp3"
"Golga4","Itgav"
"Gbp5","Trim30a"
"Ifi47","Trafd1"
"Hck","Eif2ak2"
"Oasl1","Rsad2"
"Ubac2","Rcl1"
"Acsl1","Dhx58"
"Fam134c","Aldh4a1"
"Ppp6c","Asns"
"Ifi47","Slc7a2"
"Pdxk","Rpn1"
"Clec4d","Ifi205"
"Cpeb4","Slc7a2"
"Saa3","Oas1g"
"Zmiz1","mFLJ00017"
"Grcc10","Slu7"
"Tapbp","Ppfibp2"
"Ube2l3","Cryl1"
"MRP-S2","Bloc1s2"
"Slc7a2","Parp14"
"Triap1","Recql"
"Atp5k","Hmbs"
"Ppp2r5a","Cul3"
"Slfn5","Gbp5"
"Cd40","Marcksl1"
"Mobkl1a","Nr3c1"
"Ifi47","Xaf1"
"Gbp5","Dtx3l"
"Ccl5","Cd40"
"Ttc37","Smarcc2"
"Rsad2","Cmpk2"
"Ssr3","Gsr"
"Ndufa7","Dnttip1"
"Rnf213","Znfx1"
"Ptgs2","Xaf1"
"Igf2bp3","Cnot2"
"Ifi47","Slc7a2"
"Polr1a","Chm"
"Trex1","Ifitm3"
"Clec4d","Irg1"
"limd1","Rhoa"
"Ifit3","Stat1"
"Ccl5","Rsad2"
"Gm10094","BC005561"
"Opa1","Rnf40"
"Caper","Glt25d1"
"Ddi2","Get4"
"Il1f9","Get4"
"Mogs","Arl6ip1"
"Gss","Nae1"
"Tnfaip2","AK006748"
"Cc2d1b","Akt1"
"Slfn5","Cd14"
"Ifit2","Gbp2"
"Cyc1","Acad8"
"Ptgs2","Gbp5"
"Ctbp1","Nup214"
"Timm8b","Rab4b"
"Ifi205","Xaf1"
"Ddx58","Cmpk2"
"Tlr2","Cmpk2"
"Xaf1","Trex1"
"Lsm5","Bola2"
"Nr3c1","Ccdc86"
"Cnp","Pds5a"
"Rpia","Tmed9"
"B4galnt1","Renbp"
"Trex1","Ifitm3"
"Nfs1","Smarcc2"
"Cdc73","Wdfy4"
"Slc7a2","Itga5"
"Rpia","Osbpl11"
"Dnaja1","mKIAA0136"
"Smarcd2","Gab1"
"Tor1aip1","Slc2a6"
"Ube2l3","Basp1"
"Ifi47","Oasl1"
"Ehd1","Psmb10"
"Nfs1","Hpse"
"Ddx58","Rnf213"
"Ifi47","Trim30a"
"Slc2a6","Sec61b"
"Cog2","Fkbp3"
"Dcxr","Akr1a4"
"Marcksl1","Itga5"
"Src","Ppfibp2"
"Gmppa","Lrrc8c"
"Ifit1","Rsad2"
"Rnaset2a","Zc3hav1"
"Xaf1","Parp14"
"Cnpy4","Ep300"
"Il1b","Sqstm1"
"Clec4d","Irgm1"
"Ifi205","Cmpk2"
"Ifi205","Irgm1"
"Src","Nmi"
"Marcksl1","Trafd1"
"Ifit1","Dhx58"
"Mvd","Pold1"
"Cdc73","Cd300lf"
"Irg1","Trafd1"
"Igf2bp3","Cpsf1"
"Hagh","Pacs2"
"Chrac1","Cul5"
"Ifi205","Gbp3"
"Slc7a2","Ifih1"
"Ifi47","AI607873"
"Cd14","Ccl5"
"Gusb","Scly"
"Xaf1","Irg1"
"Mgea5","H2-Ke2"
"Srxn1","Kctd12"
"Irgm1","Ifih1"
"Sqstm1","Ccl5"
"Cd38","Psmb10"
"Idh3b","Strn3"
"Slfn5","Rsad2"
"Pdxk","Atp1b3"
"Ddx58","Pnp"
"Tmed7","Pdia6"
"Ccl5","Slc7a2"
"2010305A19Rik","Eif3i"
"Hmbs","Stom"
"Stom","Ckap4"
"Hspbap1","Alad"
"Fam98c","Ptpn12"
"Slc7a2","Marcksl1"
"Ifi205","Trex1"
"Pyhin1","Ddx58"
"Pnp","Dnaja2"
"Pla2g7","Pf4"
"Il1b","Cd14"
"Nfs1","Rnf40"
"Aacs","Commd9"
"Ikbkb","Hps6"
"Ifit1","Ifit2"
"Arcn1","Uevld"
"Rnaset2a","Zc3hav1"
"Saa3","Oas3"
"Slfn2","Il1a"
"Ddt","Mogs"
"Zbtb7a","Rnaset2a"
"Wdr75","Tle1"
"Ifi47","Ifi205"
"Hnrnph3","Wnk1"
"Ptgs2","Parp14"
"Irgm1","Cfb"
"Atp5k","Uba3"
"Il1f9","Ybx1"
"Itga5","Flnb"
"Ifit1","Cfb"
"Ccl5","Itga5"
"Rbpms","Csde1"
"Fhl3","Gtl-13"
"Rars","Fam129b"
"Ap1g1","Edf1"
"Ifit1","Ifitm3"
